dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,19,44.20122718811035,0.4526231095914982,0.44513200362126576,0.01617299133743956,0.29235817005437514,2,100,10
dataset_name,RF,LCB,20,49.32452154159546,0.46136427041298733,0.4635907466411694,0.04476688708013652,0.29846465971104824,1,100,13
dataset_name,RF,LCB,21,48.85051608085632,0.4468723722091098,0.4504504516070025,0.011030635472878669,0.304764195470086,2,100,50
dataset_name,RF,LCB,22,39.15270662307739,0.4630983239617172,0.4515647327102849,0.01708179003638022,0.303410000665013,2,100,18
dataset_name,RF,LCB,23,72.32248878479004,0.460630977140265,0.45217524060512354,0.025587546728305238,0.3045983346832484,1,300,8
dataset_name,RF,LCB,24,43.60931158065796,0.44797171951260417,0.4579201436645258,0.025024807222767842,0.3077907776697128,1,100,16
dataset_name,RF,LCB,25,41.3513925075531,0.4680585074490289,0.46443888762691066,0.013474930423826489,0.3030203946615778,2,300,16
dataset_name,RF,LCB,26,49.198169469833374,0.43091182304744335,0.42721668015366615,0.014256353064799124,0.3018640963930239,3,100,16
dataset_name,RF,LCB,27,42.18134093284607,0.45086438382324295,0.45758388366496056,0.01390370572708172,0.3040686686197709,2,100,18
dataset_name,RF,LCB,28,41.23652219772339,0.45910413488337004,0.46189305864419017,0.011395488018187792,0.3044831385216534,2,100,15
dataset_name,RF,LCB,29,72.46354055404663,0.45255054889591145,0.4508694784773947,0.018604646704077545,0.18030339132292986,1,100,15
dataset_name,RF,LCB,30,59.07536458969116,0.4678573358986081,0.46229070744820716,0.026160937144953454,0.376762324301551,1,300,21
dataset_name,RF,LCB,31,57.93701791763306,0.4555696377330781,0.46161544228991536,0.021120599605602662,0.4117127875054853,1,300,20
dataset_name,RF,LCB,32,42.030771017074585,0.46882784820818957,0.4660031717171907,0.016380385299070738,0.30003117435943655,1,100,49
dataset_name,RF,LCB,33,56.64165377616882,0.48055921797327966,0.47683212494043864,0.01616046059665243,0.30057009104508814,1,300,40
dataset_name,RF,LCB,34,46.103164196014404,0.47875327969555714,0.4681090208964969,0.018870289198753394,0.30088623124338704,1,100,49
dataset_name,RF,LCB,35,46.86604428291321,0.4452038605368355,0.4450492315030493,0.018133059815285985,0.29963780552298036,2,100,37
dataset_name,RF,LCB,36,62.69832253456116,0.4779857115025288,0.4775370790563498,0.017345373573995695,0.3022678506576918,1,100,49
dataset_name,RF,LCB,37,52.137319803237915,0.4732244341763102,0.4717667185069681,0.009218831452785022,0.3011817548729974,1,100,28
dataset_name,RF,LCB,38,48.91855001449585,0.4550268325088002,0.466936692477265,0.02067684742509305,0.3011983567851961,2,100,39
dataset_name,RF,LCB,39,74.7206597328186,0.48363655214405255,0.4832726388732812,0.009897254222156192,0.3143097366747681,1,100,44
dataset_name,RF,LCB,40,68.65640306472778,0.4863488186155751,0.4848343202348252,0.00401331563539587,0.31023721215169114,1,100,45
dataset_name,RF,LCB,41,47.31398296356201,0.45651048904980945,0.45166543147165805,0.020075053186526817,0.6407898654523906,1,100,46
dataset_name,RF,LCB,42,61.976582765579224,0.4859888279399059,0.4847281285521074,0.028461525136817968,0.3103413464385577,1,200,43
dataset_name,RF,LCB,43,49.22618222236633,0.47313415431268024,0.4679537830635544,0.00935227113817503,0.3100275378180244,2,300,44
dataset_name,RF,LCB,44,59.98517680168152,0.49407218076363063,0.4914960342257837,0.008468941055806015,0.3158852170972199,1,200,40
dataset_name,RF,LCB,45,48.38189148902893,0.4682981315179552,0.4675510742115052,0.004622549150553286,0.31896182847123145,2,300,40
dataset_name,RF,LCB,46,68.45947003364563,0.48610842311200375,0.4813734623702864,0.019122306850494406,0.3119400555238907,1,200,36
dataset_name,RF,LCB,47,61.29930543899536,0.47215257491304935,0.4796449953091315,0.01217182393291826,0.3306004568021826,1,200,36
